kanal,percobaan,waktu_kirim_pc,waktu_alarm_server,device_epoch,arus_tercatat_A,alarm_terpicu,relay_terputus
Stepper_X,1,2026-07-13T19:16:56.722162,2026-07-13 19:16:58,1783945018,1.331,True,False
Stepper_X,2,2026-07-13T19:17:08.762927,2026-07-13 19:17:10,1783945030,1.499,True,False
Stepper_X,3,2026-07-13T19:17:20.833380,2026-07-13 19:17:22,1783945042,1.515,True,False
Stepper_X,4,2026-07-13T19:17:32.890199,2026-07-13 19:17:34,1783945054,1.514,True,False
Stepper_X,5,2026-07-13T19:17:44.942006,2026-07-13 19:17:46,1783945066,1.518,True,False
Stepper_X,6,2026-07-13T19:17:57.009991,2026-07-13 19:17:58,1783945078,1.523,True,False
Stepper_X,7,2026-07-13T19:18:09.083232,2026-07-13 19:18:10,1783945090,1.517,True,False
Stepper_X,8,2026-07-13T19:18:21.144139,2026-07-13 19:18:22,1783945102,1.521,True,False
Stepper_X,9,2026-07-13T19:18:33.201791,2026-07-13 19:18:34,1783945114,1.514,True,False
Stepper_X,10,2026-07-13T19:18:45.254311,2026-07-13 19:18:46,1783945126,1.518,True,False
Stepper_Y1,1,2026-07-13T19:18:57.319385,2026-07-13 19:18:58,1783945138,1.336,True,False
Stepper_Y1,2,2026-07-13T19:19:09.374859,2026-07-13 19:19:10,1783945150,1.49,True,False
Stepper_Y1,3,2026-07-13T19:19:21.446063,2026-07-13 19:19:10,1783945150,1.49,True,False
Stepper_Y1,4,2026-07-13T19:19:33.494512,2026-07-13 19:19:24,1783945164,1.46,True,False
Stepper_Y1,5,2026-07-13T19:19:45.553132,2026-07-13 19:19:36,1783945176,1.51,True,False
Stepper_Y1,6,2026-07-13T19:19:57.630761,2026-07-13 19:19:48,1783945188,1.523,True,False
Stepper_Y1,7,2026-07-13T19:20:09.695905,2026-07-13 19:20:00,1783945200,1.514,True,False
Stepper_Y1,8,2026-07-13T19:20:21.741969,2026-07-13 19:20:12,1783945212,1.517,True,False
Stepper_Y1,9,2026-07-13T19:20:33.794626,2026-07-13 19:20:24,1783945224,1.513,True,False
Stepper_Y1,10,2026-07-13T19:20:45.852701,2026-07-13 19:20:36,1783945236,1.51,True,False
Stepper_Y2,1,2026-07-13T19:20:57.928743,2026-07-13 19:21:00,1783945260,1.337,True,False
Stepper_Y2,2,2026-07-13T19:21:09.993209,2026-07-13 19:21:12,1783945272,1.496,True,False
Stepper_Y2,3,2026-07-13T19:21:22.026042,2026-07-13 19:21:24,1783945284,1.52,True,False
Stepper_Y2,4,2026-07-13T19:21:34.075014,2026-07-13 19:21:36,1783945296,1.52,True,False
Stepper_Y2,5,2026-07-13T19:21:46.142994,2026-07-13 19:21:48,1783945308,1.52,True,False
Stepper_Y2,6,2026-07-13T19:21:58.198225,2026-07-13 19:22:00,1783945320,1.518,True,False
Stepper_Y2,7,2026-07-13T19:22:10.263278,2026-07-13 19:22:12,1783945332,1.525,True,False
Stepper_Y2,8,2026-07-13T19:22:22.323651,2026-07-13 19:22:24,1783945344,1.519,True,False
Stepper_Y2,9,2026-07-13T19:22:34.395507,2026-07-13 19:22:36,1783945356,1.52,True,False
Stepper_Y2,10,2026-07-13T19:22:46.467026,2026-07-13 19:22:48,1783945368,1.519,True,False
Stepper_Z,1,2026-07-13T19:22:58.527955,2026-07-13 19:23:00,1783945380,0.88,True,False
Stepper_Z,2,2026-07-13T19:23:10.604753,2026-07-13 19:23:12,1783945392,0.986,True,False
Stepper_Z,3,2026-07-13T19:23:22.666523,2026-07-13 19:23:24,1783945404,0.999,True,False
Stepper_Z,4,2026-07-13T19:23:34.712463,2026-07-13 19:23:36,1783945416,1.004,True,False
Stepper_Z,5,2026-07-13T19:23:46.771026,2026-07-13 19:23:48,1783945428,1.003,True,False
Stepper_Z,6,2026-07-13T19:23:58.830813,2026-07-13 19:24:00,1783945440,1.007,True,False
Stepper_Z,7,2026-07-13T19:24:10.882775,2026-07-13 19:24:12,1783945452,1.007,True,False
Stepper_Z,8,2026-07-13T19:24:22.925487,2026-07-13 19:24:24,1783945464,1.002,True,False
Stepper_Z,9,2026-07-13T19:24:34.993564,2026-07-13 19:24:36,1783945476,1.003,True,False
Stepper_Z,10,2026-07-13T19:24:47.070300,2026-07-13 19:24:48,1783945488,1.007,True,False
Spindle,1,2026-07-13T19:24:59.128443,2026-07-13 19:25:00,1783945500,1.316,True,False
Spindle,2,2026-07-13T19:25:11.203704,2026-07-13 19:25:12,1783945512,1.482,True,False
Spindle,3,2026-07-13T19:25:23.268943,2026-07-13 19:25:24,1783945524,1.502,True,False
Spindle,4,2026-07-13T19:25:35.323804,2026-07-13 19:25:36,1783945536,1.501,True,False
Spindle,5,2026-07-13T19:25:47.393541,2026-07-13 19:25:48,1783945548,1.504,True,False
Spindle,6,2026-07-13T19:25:59.473771,2026-07-13 19:25:48,1783945548,1.504,True,False
Spindle,7,2026-07-13T19:26:11.533949,2026-07-13 19:26:02,1783945562,1.472,True,False
Spindle,8,2026-07-13T19:26:23.587371,2026-07-13 19:26:14,1783945574,1.477,True,False
Spindle,9,2026-07-13T19:26:35.647739,2026-07-13 19:26:26,1783945586,1.51,True,False
Spindle,10,2026-07-13T19:26:47.708337,2026-07-13 19:26:38,1783945598,1.513,True,False
