kanal,percobaan,ambang_alarm_A,ambang_resume_A,nilai_tinggi_A,cutoff_terjadi,kirim_ulang_tahap1,nilai_histeresis_A,resume_ditolak_saat_tinggi,kirim_ulang_tahap2,resume_ditolak_saat_histeresis,kirim_ulang_tahap4,nilai_rendah_A,resume_diterima_saat_rendah,kirim_ulang_tahap6,sesuai_ekspektasi
Stepper_X,1,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,2,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,3,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,4,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,5,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,6,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,7,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,8,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,9,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_X,10,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,1,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,2,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,3,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,4,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,5,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,6,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,7,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,8,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,9,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y1,10,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,1,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,2,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,3,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,4,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,5,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,6,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,7,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,8,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,9,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Y2,10,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Stepper_Z,1,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,2,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,3,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,4,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,5,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,6,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,7,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,8,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,9,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Stepper_Z,10,2.0,1.5,3.0,True,1,1.8,True,1,True,1,1.2,True,1,True
Spindle,1,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,2,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,3,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,4,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,5,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,6,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,7,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,8,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,9,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
Spindle,10,3.0,2.5,4.5,True,1,2.8,True,1,True,1,2.2,True,1,True
