index,recorded_at_a,recorded_at_b,device_epoch_a,device_epoch_b,selisih_detik
0,2026-07-13 19:34:00,2026-07-13 19:33:58,1783946040,1783946038,2.0
1,2026-07-13 19:33:58,2026-07-13 19:33:56,1783946038,1783946036,2.0
2,2026-07-13 19:33:56,2026-07-13 19:33:54,1783946036,1783946034,2.0
3,2026-07-13 19:33:54,2026-07-13 19:33:52,1783946034,1783946032,2.0
4,2026-07-13 19:33:52,2026-07-13 19:33:50,1783946032,1783946030,2.0
5,2026-07-13 19:33:50,2026-07-13 19:33:48,1783946030,1783946028,2.0
6,2026-07-13 19:33:48,2026-07-13 19:33:46,1783946028,1783946026,2.0
7,2026-07-13 19:33:46,2026-07-13 19:33:44,1783946026,1783946024,2.0
8,2026-07-13 19:33:44,2026-07-13 19:33:42,1783946024,1783946022,2.0
9,2026-07-13 19:33:42,2026-07-13 19:33:40,1783946022,1783946020,2.0
10,2026-07-13 19:33:40,2026-07-13 19:33:38,1783946020,1783946018,2.0
11,2026-07-13 19:33:38,2026-07-13 19:33:36,1783946018,1783946016,2.0
12,2026-07-13 19:33:36,2026-07-13 19:33:34,1783946016,1783946014,2.0
13,2026-07-13 19:33:34,2026-07-13 19:33:32,1783946014,1783946012,2.0
14,2026-07-13 19:33:32,2026-07-13 19:33:30,1783946012,1783946010,2.0
15,2026-07-13 19:33:30,2026-07-13 19:33:28,1783946010,1783946008,2.0
16,2026-07-13 19:33:28,2026-07-13 19:33:26,1783946008,1783946006,2.0
17,2026-07-13 19:33:26,2026-07-13 19:33:24,1783946006,1783946004,2.0
18,2026-07-13 19:33:24,2026-07-13 19:33:22,1783946004,1783946002,2.0
19,2026-07-13 19:33:22,2026-07-13 19:33:20,1783946002,1783946000,2.0
20,2026-07-13 19:33:20,2026-07-13 19:33:18,1783946000,1783945998,2.0
21,2026-07-13 19:33:18,2026-07-13 19:33:16,1783945998,1783945996,2.0
22,2026-07-13 19:33:16,2026-07-13 19:33:14,1783945996,1783945994,2.0
23,2026-07-13 19:33:14,2026-07-13 19:33:12,1783945994,1783945992,2.0
24,2026-07-13 19:33:12,2026-07-13 19:33:10,1783945992,1783945990,2.0
25,2026-07-13 19:33:10,2026-07-13 19:33:08,1783945990,1783945988,2.0
26,2026-07-13 19:33:08,2026-07-13 19:33:06,1783945988,1783945986,2.0
27,2026-07-13 19:33:06,2026-07-13 19:33:04,1783945986,1783945984,2.0
28,2026-07-13 19:33:04,2026-07-13 19:33:02,1783945984,1783945982,2.0
29,2026-07-13 19:33:02,2026-07-13 19:33:00,1783945982,1783945980,2.0
30,2026-07-13 19:33:00,2026-07-13 19:32:58,1783945980,1783945978,2.0
31,2026-07-13 19:32:58,2026-07-13 19:32:56,1783945978,1783945976,2.0
32,2026-07-13 19:32:56,2026-07-13 19:32:54,1783945976,1783945974,2.0
33,2026-07-13 19:32:54,2026-07-13 19:32:52,1783945974,1783945972,2.0
34,2026-07-13 19:32:52,2026-07-13 19:32:50,1783945972,1783945970,2.0
35,2026-07-13 19:32:50,2026-07-13 19:32:48,1783945970,1783945968,2.0
36,2026-07-13 19:32:48,2026-07-13 19:32:46,1783945968,1783945966,2.0
37,2026-07-13 19:32:46,2026-07-13 19:32:44,1783945966,1783945964,2.0
38,2026-07-13 19:32:44,2026-07-13 19:32:42,1783945964,1783945962,2.0
39,2026-07-13 19:32:42,2026-07-13 19:32:40,1783945962,1783945960,2.0
40,2026-07-13 19:32:40,2026-07-13 19:32:38,1783945960,1783945958,2.0
41,2026-07-13 19:32:38,2026-07-13 19:32:36,1783945958,1783945956,2.0
42,2026-07-13 19:32:36,2026-07-13 19:32:34,1783945956,1783945954,2.0
43,2026-07-13 19:32:34,2026-07-13 19:32:32,1783945954,1783945952,2.0
44,2026-07-13 19:32:32,2026-07-13 19:32:30,1783945952,1783945950,2.0
45,2026-07-13 19:32:30,2026-07-13 19:32:28,1783945950,1783945948,2.0
46,2026-07-13 19:32:28,2026-07-13 19:32:26,1783945948,1783945946,2.0
47,2026-07-13 19:32:26,2026-07-13 19:32:24,1783945946,1783945944,2.0
48,2026-07-13 19:32:24,2026-07-13 19:32:22,1783945944,1783945942,2.0
49,2026-07-13 19:32:22,2026-07-13 19:32:20,1783945942,1783945940,2.0
50,2026-07-13 19:32:20,2026-07-13 19:32:18,1783945940,1783945938,2.0
51,2026-07-13 19:32:18,2026-07-13 19:32:16,1783945938,1783945936,2.0
52,2026-07-13 19:32:16,2026-07-13 19:32:14,1783945936,1783945934,2.0
53,2026-07-13 19:32:14,2026-07-13 19:32:12,1783945934,1783945932,2.0
54,2026-07-13 19:32:12,2026-07-13 19:32:10,1783945932,1783945930,2.0
55,2026-07-13 19:32:10,2026-07-13 19:32:08,1783945930,1783945928,2.0
56,2026-07-13 19:32:08,2026-07-13 19:32:06,1783945928,1783945926,2.0
57,2026-07-13 19:32:06,2026-07-13 19:32:04,1783945926,1783945924,2.0
58,2026-07-13 19:32:04,2026-07-13 19:32:02,1783945924,1783945922,2.0
59,2026-07-13 19:32:02,2026-07-13 19:32:00,1783945922,1783945920,2.0
60,2026-07-13 19:32:00,2026-07-13 19:31:58,1783945920,1783945918,2.0
61,2026-07-13 19:31:58,2026-07-13 19:31:56,1783945918,1783945916,2.0
62,2026-07-13 19:31:56,2026-07-13 19:31:54,1783945916,1783945914,2.0
63,2026-07-13 19:31:54,2026-07-13 19:31:52,1783945914,1783945912,2.0
64,2026-07-13 19:31:52,2026-07-13 19:31:50,1783945912,1783945910,2.0
65,2026-07-13 19:31:50,2026-07-13 19:31:48,1783945910,1783945908,2.0
66,2026-07-13 19:31:48,2026-07-13 19:31:46,1783945908,1783945906,2.0
67,2026-07-13 19:31:46,2026-07-13 19:31:44,1783945906,1783945904,2.0
68,2026-07-13 19:31:44,2026-07-13 19:31:42,1783945904,1783945902,2.0
69,2026-07-13 19:31:42,2026-07-13 19:31:40,1783945902,1783945900,2.0
70,2026-07-13 19:31:40,2026-07-13 19:31:38,1783945900,1783945898,2.0
71,2026-07-13 19:31:38,2026-07-13 19:31:36,1783945898,1783945896,2.0
72,2026-07-13 19:31:36,2026-07-13 19:31:34,1783945896,1783945894,2.0
73,2026-07-13 19:31:34,2026-07-13 19:31:32,1783945894,1783945892,2.0
74,2026-07-13 19:31:32,2026-07-13 19:31:30,1783945892,1783945890,2.0
75,2026-07-13 19:31:30,2026-07-13 19:31:28,1783945890,1783945888,2.0
76,2026-07-13 19:31:28,2026-07-13 19:31:26,1783945888,1783945886,2.0
77,2026-07-13 19:31:26,2026-07-13 19:31:24,1783945886,1783945884,2.0
78,2026-07-13 19:31:24,2026-07-13 19:31:22,1783945884,1783945882,2.0
79,2026-07-13 19:31:22,2026-07-13 19:31:20,1783945882,1783945880,2.0
80,2026-07-13 19:31:20,2026-07-13 19:31:18,1783945880,1783945878,2.0
81,2026-07-13 19:31:18,2026-07-13 19:31:16,1783945878,1783945876,2.0
82,2026-07-13 19:31:16,2026-07-13 19:31:14,1783945876,1783945874,2.0
83,2026-07-13 19:31:14,2026-07-13 19:31:12,1783945874,1783945872,2.0
84,2026-07-13 19:31:12,2026-07-13 19:31:10,1783945872,1783945870,2.0
85,2026-07-13 19:31:10,2026-07-13 19:31:08,1783945870,1783945868,2.0
86,2026-07-13 19:31:08,2026-07-13 19:31:06,1783945868,1783945866,2.0
87,2026-07-13 19:31:06,2026-07-13 19:31:04,1783945866,1783945864,2.0
88,2026-07-13 19:31:04,2026-07-13 19:31:02,1783945864,1783945862,2.0
89,2026-07-13 19:31:02,2026-07-13 19:31:00,1783945862,1783945860,2.0
90,2026-07-13 19:31:00,2026-07-13 19:30:58,1783945860,1783945858,2.0
91,2026-07-13 19:30:58,2026-07-13 19:30:56,1783945858,1783945856,2.0
92,2026-07-13 19:30:56,2026-07-13 19:30:54,1783945856,1783945854,2.0
93,2026-07-13 19:30:54,2026-07-13 19:30:52,1783945854,1783945852,2.0
94,2026-07-13 19:30:52,2026-07-13 19:30:50,1783945852,1783945850,2.0
95,2026-07-13 19:30:50,2026-07-13 19:30:48,1783945850,1783945848,2.0
96,2026-07-13 19:30:48,2026-07-13 19:30:46,1783945848,1783945846,2.0
97,2026-07-13 19:30:46,2026-07-13 19:30:44,1783945846,1783945844,2.0
98,2026-07-13 19:30:44,2026-07-13 19:30:42,1783945844,1783945842,2.0
99,2026-07-13 19:30:42,2026-07-13 19:30:40,1783945842,1783945840,2.0
100,2026-07-13 19:30:40,2026-07-13 19:30:38,1783945840,1783945838,2.0
101,2026-07-13 19:30:38,2026-07-13 19:30:36,1783945838,1783945836,2.0
102,2026-07-13 19:30:36,2026-07-13 19:30:34,1783945836,1783945834,2.0
103,2026-07-13 19:30:34,2026-07-13 19:30:32,1783945834,1783945832,2.0
104,2026-07-13 19:30:32,2026-07-13 19:30:30,1783945832,1783945830,2.0
105,2026-07-13 19:30:30,2026-07-13 19:30:28,1783945830,1783945828,2.0
106,2026-07-13 19:30:28,2026-07-13 19:30:26,1783945828,1783945826,2.0
107,2026-07-13 19:30:26,2026-07-13 19:30:24,1783945826,1783945824,2.0
108,2026-07-13 19:30:24,2026-07-13 19:30:22,1783945824,1783945822,2.0
109,2026-07-13 19:30:22,2026-07-13 19:30:20,1783945822,1783945820,2.0
110,2026-07-13 19:30:20,2026-07-13 19:30:18,1783945820,1783945818,2.0
111,2026-07-13 19:30:18,2026-07-13 19:30:16,1783945818,1783945816,2.0
112,2026-07-13 19:30:16,2026-07-13 19:30:14,1783945816,1783945814,2.0
113,2026-07-13 19:30:14,2026-07-13 19:30:12,1783945814,1783945812,2.0
114,2026-07-13 19:30:12,2026-07-13 19:30:10,1783945812,1783945810,2.0
115,2026-07-13 19:30:10,2026-07-13 19:30:08,1783945810,1783945808,2.0
116,2026-07-13 19:30:08,2026-07-13 19:30:06,1783945808,1783945806,2.0
117,2026-07-13 19:30:06,2026-07-13 19:30:04,1783945806,1783945804,2.0
118,2026-07-13 19:30:04,2026-07-13 19:30:02,1783945804,1783945802,2.0
119,2026-07-13 19:30:02,2026-07-13 19:30:00,1783945802,1783945800,2.0
120,2026-07-13 19:30:00,2026-07-13 19:29:58,1783945800,1783945798,2.0
