kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Stepper_X,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:38:17.187114,1783946296,2026-07-13 19:38:16,4.5,True,False
Stepper_X,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:38:20.192572,1783946298,2026-07-13 19:38:18,,True,False
Stepper_X,1,3,Tahan nilai zona histeresis,2026-07-13T19:38:23.233830,1783946302,2026-07-13 19:38:22,2.8,True,False
Stepper_X,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:38:26.265008,1783946304,2026-07-13 19:38:24,,True,False
Stepper_X,1,5,Tahan nilai di bawah ambang resume,2026-07-13T19:38:29.308138,1783946308,2026-07-13 19:38:28,2.2,True,False
Stepper_X,1,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:38:32.324286,1783946310,2026-07-13 19:38:30,,False,True
Stepper_X,2,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:38:41.404642,1783946320,2026-07-13 19:38:40,4.5,True,False
Stepper_X,2,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:38:44.459240,1783946322,2026-07-13 19:38:42,,True,False
Stepper_X,2,3,Tahan nilai zona histeresis,2026-07-13T19:38:47.521631,1783946326,2026-07-13 19:38:46,2.8,True,False
Stepper_X,2,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:38:50.543189,1783946328,2026-07-13 19:38:48,,True,False
Stepper_X,2,5,Tahan nilai di bawah ambang resume,2026-07-13T19:38:53.605223,1783946332,2026-07-13 19:38:52,2.2,True,False
Stepper_X,2,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:38:56.619507,1783946334,2026-07-13 19:38:54,,True,False
Stepper_X,3,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:39:05.706102,1783946344,2026-07-13 19:39:04,4.5,True,False
Stepper_X,3,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:39:08.739873,1783946346,2026-07-13 19:39:06,,True,False
Stepper_X,3,3,Tahan nilai zona histeresis,2026-07-13T19:39:11.791505,1783946350,2026-07-13 19:39:10,2.8,True,False
Stepper_X,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:39:14.824438,1783946352,2026-07-13 19:39:12,,True,False
Stepper_X,3,5,Tahan nilai di bawah ambang resume,2026-07-13T19:39:17.840840,1783946356,2026-07-13 19:39:16,2.2,True,False
Stepper_X,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:39:20.872911,1783946360,2026-07-13 19:39:20,,False,True
Stepper_X,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:39:29.945220,1783946368,2026-07-13 19:39:28,4.5,True,False
Stepper_X,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:39:32.976690,1783946372,2026-07-13 19:39:32,,True,False
Stepper_X,4,3,Tahan nilai zona histeresis,2026-07-13T19:39:36.015521,1783946374,2026-07-13 19:39:34,2.8,True,False
Stepper_X,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:39:39.066711,1783946378,2026-07-13 19:39:38,,True,False
Stepper_X,4,5,Tahan nilai di bawah ambang resume,2026-07-13T19:39:42.071293,1783946380,2026-07-13 19:39:40,2.2,True,False
Stepper_X,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:39:45.107968,1783946384,2026-07-13 19:39:44,,False,True
Stepper_X,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:39:54.171408,1783946392,2026-07-13 19:39:52,4.5,True,False
Stepper_X,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:39:57.211372,1783946396,2026-07-13 19:39:56,,True,False
Stepper_X,5,3,Tahan nilai zona histeresis,2026-07-13T19:40:00.250104,1783946398,2026-07-13 19:39:58,2.8,True,False
Stepper_X,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:40:03.265637,1783946402,2026-07-13 19:40:02,,True,False
Stepper_X,5,5,Tahan nilai di bawah ambang resume,2026-07-13T19:40:06.297522,1783946404,2026-07-13 19:40:04,2.2,True,False
Stepper_X,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:40:09.343951,1783946408,2026-07-13 19:40:08,,False,True
Stepper_Y1,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:40:18.433360,1783946416,2026-07-13 19:40:16,4.5,True,False
Stepper_Y1,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:40:21.496301,1783946420,2026-07-13 19:40:20,,True,False
Stepper_Y1,1,3,Tahan nilai zona histeresis,2026-07-13T19:40:24.538037,1783946422,2026-07-13 19:40:22,2.8,True,False
Stepper_Y1,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:40:27.579272,1783946426,2026-07-13 19:40:26,,True,False
