kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Spindle,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:48:23.646484,1783946902,2026-07-13 19:48:22,72.0,True,False
Spindle,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:48:26.677593,1783946904,2026-07-13 19:48:24,,True,False
Spindle,1,3,Tahan nilai zona histeresis,2026-07-13T19:48:29.717331,1783946908,2026-07-13 19:48:28,58.0,True,False
Spindle,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:48:32.759231,1783946910,2026-07-13 19:48:30,,True,False
Spindle,1,5,Tahan nilai di bawah ambang resume,2026-07-13T19:48:35.798123,1783946914,2026-07-13 19:48:34,52.0,True,False
Spindle,1,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:48:38.838258,1783946918,2026-07-13 19:48:38,,False,True
Spindle,2,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:48:47.913545,1783946926,2026-07-13 19:48:46,72.0,True,False
Spindle,2,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:48:50.946061,1783946930,2026-07-13 19:48:50,,True,False
Spindle,2,3,Tahan nilai zona histeresis,2026-07-13T19:48:53.980479,1783946932,2026-07-13 19:48:52,58.0,True,False
Spindle,2,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:48:57.010942,1783946936,2026-07-13 19:48:56,,True,False
Spindle,2,5,Tahan nilai di bawah ambang resume,2026-07-13T19:49:00.048571,1783946938,2026-07-13 19:48:58,52.0,True,False
Spindle,2,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:49:03.088063,1783946942,2026-07-13 19:49:02,,False,True
Spindle,3,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:49:12.170426,1783946950,2026-07-13 19:49:10,72.0,True,False
Spindle,3,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:49:15.205785,1783946954,2026-07-13 19:49:14,,True,False
Spindle,3,3,Tahan nilai zona histeresis,2026-07-13T19:49:18.217023,1783946956,2026-07-13 19:49:16,58.0,True,False
Spindle,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:49:21.221309,1783946960,2026-07-13 19:49:20,,True,False
Spindle,3,5,Tahan nilai di bawah ambang resume,2026-07-13T19:49:24.259960,1783946962,2026-07-13 19:49:22,52.0,True,False
Spindle,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:49:27.291424,1783946966,2026-07-13 19:49:26,,False,True
Spindle,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:49:36.373148,1783946974,2026-07-13 19:49:34,72.0,False,True
Spindle,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:49:39.425321,1783946978,2026-07-13 19:49:38,,True,False
Spindle,4,3,Tahan nilai zona histeresis,2026-07-13T19:49:42.483985,1783946980,2026-07-13 19:49:40,58.0,True,False
Spindle,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:49:45.535472,1783946984,2026-07-13 19:49:44,,True,False
Spindle,4,5,Tahan nilai di bawah ambang resume,2026-07-13T19:49:48.579390,1783946986,2026-07-13 19:49:46,52.0,True,False
Spindle,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:49:51.613110,1783946990,2026-07-13 19:49:50,,False,True
Spindle,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:50:00.669000,1783946998,2026-07-13 19:49:58,72.0,False,True
Spindle,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:50:03.709082,1783947002,2026-07-13 19:50:02,,True,False
Spindle,5,3,Tahan nilai zona histeresis,2026-07-13T19:50:06.714746,1783947004,2026-07-13 19:50:04,58.0,True,False
Spindle,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:50:09.758067,1783947008,2026-07-13 19:50:08,,True,False
Spindle,5,5,Tahan nilai di bawah ambang resume,2026-07-13T19:50:12.774066,1783947010,2026-07-13 19:50:10,52.0,True,False
Spindle,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:50:15.795917,1783947014,2026-07-13 19:50:14,,False,True
Stepper_Z,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:50:24.902651,1783947024,2026-07-13 19:50:24,66.0,True,False
Stepper_Z,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:50:27.909698,1783947026,2026-07-13 19:50:26,,True,False
Stepper_Z,1,3,Tahan nilai zona histeresis,2026-07-13T19:50:30.926382,1783947030,2026-07-13 19:50:30,53.0,True,False
Stepper_Z,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:50:33.940330,1783947032,2026-07-13 19:50:32,,True,False
Stepper_Z,1,5,Tahan nilai di bawah ambang resume,2026-07-13T19:50:36.985923,1783947036,2026-07-13 19:50:36,47.0,True,False
Stepper_Z,1,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:50:39.990528,1783947038,2026-07-13 19:50:38,,False,True
Stepper_Z,2,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:50:49.057523,1783947048,2026-07-13 19:50:48,66.0,True,False
Stepper_Z,2,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:50:52.077607,1783947050,2026-07-13 19:50:50,,True,False
Stepper_Z,2,3,Tahan nilai zona histeresis,2026-07-13T19:50:55.116169,1783947054,2026-07-13 19:50:54,53.0,True,False
Stepper_Z,2,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:50:58.121042,1783947056,2026-07-13 19:50:56,,True,False
Stepper_Z,2,5,Tahan nilai di bawah ambang resume,2026-07-13T19:51:01.127307,1783947060,2026-07-13 19:51:00,47.0,True,False
Stepper_Z,2,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:51:04.158770,1783947062,2026-07-13 19:51:02,,False,True
Stepper_Z,3,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:51:13.247599,1783947072,2026-07-13 19:51:12,66.0,True,False
Stepper_Z,3,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:51:16.291835,1783947074,2026-07-13 19:51:14,,True,False
Stepper_Z,3,3,Tahan nilai zona histeresis,2026-07-13T19:51:19.323139,1783947078,2026-07-13 19:51:18,53.0,True,False
Stepper_Z,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:51:22.364503,1783947080,2026-07-13 19:51:20,,True,False
Stepper_Z,3,5,Tahan nilai di bawah ambang resume,2026-07-13T19:51:25.406126,1783947084,2026-07-13 19:51:24,47.0,True,False
Stepper_Z,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:51:28.446421,1783947086,2026-07-13 19:51:26,,False,True
Stepper_Z,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:51:37.541202,1783947096,2026-07-13 19:51:36,66.0,True,False
Stepper_Z,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:51:40.579252,1783947098,2026-07-13 19:51:38,,True,False
Stepper_Z,4,3,Tahan nilai zona histeresis,2026-07-13T19:51:43.621504,1783947102,2026-07-13 19:51:42,53.0,True,False
Stepper_Z,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:51:46.678685,1783947104,2026-07-13 19:51:44,,True,False
Stepper_Z,4,5,Tahan nilai di bawah ambang resume,2026-07-13T19:51:49.740077,1783947108,2026-07-13 19:51:48,47.0,True,False
Stepper_Z,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:51:52.779131,1783947110,2026-07-13 19:51:50,,True,False
Stepper_Z,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:52:01.851919,1783947120,2026-07-13 19:52:00,66.0,True,False
Stepper_Z,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:52:04.875258,1783947124,2026-07-13 19:52:04,,True,False
Stepper_Z,5,3,Tahan nilai zona histeresis,2026-07-13T19:52:07.882267,1783947126,2026-07-13 19:52:06,53.0,True,False
Stepper_Z,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:52:10.918362,1783947130,2026-07-13 19:52:10,,True,False
Stepper_Z,5,5,Tahan nilai di bawah ambang resume,2026-07-13T19:52:13.951927,1783947132,2026-07-13 19:52:12,47.0,True,False
Stepper_Z,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:52:16.976877,1783947136,2026-07-13 19:52:16,,False,True
Spindle,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:56:11.005648,1783950971,2026-07-13 20:56:11,72.0,True,False,1
Spindle,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:56:17.045593,1783950977,2026-07-13 20:56:17,,True,False,1
Spindle,1,3,Tahan nilai zona histeresis,2026-07-13T20:56:23.071556,1783950983,2026-07-13 20:56:23,58.0,True,False,1
Spindle,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:56:29.124265,1783950989,2026-07-13 20:56:29,,True,False,1
Spindle,1,5,Tahan nilai di bawah ambang resume,2026-07-13T20:56:35.150986,1783950995,2026-07-13 20:56:35,52.0,True,False,1
Spindle,1,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:56:41.184141,1783951001,2026-07-13 20:56:41,,False,True,1
Spindle,2,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:56:53.255100,1783951013,2026-07-13 20:56:53,72.0,True,False,1
Spindle,2,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:56:59.300241,1783951019,2026-07-13 20:56:59,,True,False,1
Spindle,2,3,Tahan nilai zona histeresis,2026-07-13T20:57:05.328387,1783951025,2026-07-13 20:57:05,58.0,True,False,1
Spindle,2,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:57:11.347284,1783951031,2026-07-13 20:57:11,,True,False,1
Spindle,2,5,Tahan nilai di bawah ambang resume,2026-07-13T20:57:17.375389,1783951037,2026-07-13 20:57:17,52.0,True,False,1
Spindle,2,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:57:23.406631,1783951043,2026-07-13 20:57:23,,False,True,1
Spindle,3,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:57:35.462527,1783951055,2026-07-13 20:57:35,72.0,True,False,1
Spindle,3,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:57:41.499175,1783951061,2026-07-13 20:57:41,,True,False,1
Spindle,3,3,Tahan nilai zona histeresis,2026-07-13T20:57:47.548700,1783951067,2026-07-13 20:57:47,58.0,True,False,1
Spindle,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:57:53.583567,1783951073,2026-07-13 20:57:53,,True,False,1
Spindle,3,5,Tahan nilai di bawah ambang resume,2026-07-13T20:57:59.634220,1783951079,2026-07-13 20:57:59,52.0,True,False,1
Spindle,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:58:05.693848,1783951085,2026-07-13 20:58:05,,False,True,1
Spindle,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:58:17.762347,1783951097,2026-07-13 20:58:17,72.0,True,False,1
Spindle,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:58:23.805280,1783951103,2026-07-13 20:58:23,,True,False,1
Spindle,4,3,Tahan nilai zona histeresis,2026-07-13T20:58:29.847940,1783951109,2026-07-13 20:58:29,58.0,True,False,1
Spindle,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:58:35.889029,1783951115,2026-07-13 20:58:35,,True,False,1
Spindle,4,5,Tahan nilai di bawah ambang resume,2026-07-13T20:58:41.929551,1783951121,2026-07-13 20:58:41,52.0,True,False,1
Spindle,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:58:47.963756,1783951127,2026-07-13 20:58:47,,False,True,1
Spindle,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:59:00.042599,1783951139,2026-07-13 20:58:59,72.0,True,False,1
Spindle,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:59:06.068132,1783951145,2026-07-13 20:59:05,,True,False,1
Spindle,5,3,Tahan nilai zona histeresis,2026-07-13T20:59:12.101563,1783951151,2026-07-13 20:59:11,58.0,True,False,1
Spindle,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:59:18.135139,1783951157,2026-07-13 20:59:17,,True,False,1
Spindle,5,5,Tahan nilai di bawah ambang resume,2026-07-13T20:59:24.183661,1783951163,2026-07-13 20:59:23,52.0,True,False,1
Spindle,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:59:30.242130,1783951169,2026-07-13 20:59:29,,False,True,1
Spindle,6,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:59:42.298192,1783951181,2026-07-13 20:59:41,72.0,True,False,1
Spindle,6,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:59:48.335498,1783951187,2026-07-13 20:59:47,,True,False,1
Spindle,6,3,Tahan nilai zona histeresis,2026-07-13T20:59:54.381540,1783951193,2026-07-13 20:59:53,58.0,True,False,1
Spindle,6,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:00:00.415249,1783951199,2026-07-13 20:59:59,,True,False,1
Spindle,6,5,Tahan nilai di bawah ambang resume,2026-07-13T21:00:06.452432,1783951205,2026-07-13 21:00:05,52.0,True,False,1
Spindle,6,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:00:12.484441,1783951211,2026-07-13 21:00:11,,False,True,1
Spindle,7,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:00:24.551789,1783951223,2026-07-13 21:00:23,72.0,True,False,1
Spindle,7,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:00:30.593508,1783951229,2026-07-13 21:00:29,,True,False,1
Spindle,7,3,Tahan nilai zona histeresis,2026-07-13T21:00:36.625819,1783951235,2026-07-13 21:00:35,58.0,True,False,1
Spindle,7,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:00:42.647290,1783951241,2026-07-13 21:00:41,,True,False,1
Spindle,7,5,Tahan nilai di bawah ambang resume,2026-07-13T21:00:48.690486,1783951247,2026-07-13 21:00:47,52.0,True,False,1
Spindle,7,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:00:54.738077,1783951253,2026-07-13 21:00:53,,False,True,1
Spindle,8,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:01:06.790102,1783951265,2026-07-13 21:01:05,72.0,True,False,1
Spindle,8,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:01:12.832030,1783951271,2026-07-13 21:01:11,,True,False,1
Spindle,8,3,Tahan nilai zona histeresis,2026-07-13T21:01:18.888549,1783951277,2026-07-13 21:01:17,58.0,True,False,1
Spindle,8,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:01:24.930087,1783951283,2026-07-13 21:01:23,,True,False,1
Spindle,8,5,Tahan nilai di bawah ambang resume,2026-07-13T21:01:30.960697,1783951291,2026-07-13 21:01:31,52.0,True,False,1
Spindle,8,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:01:36.981267,1783951297,2026-07-13 21:01:37,,False,True,1
Spindle,9,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:01:49.030293,1783951309,2026-07-13 21:01:49,72.0,True,False,1
Spindle,9,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:01:55.065664,1783951315,2026-07-13 21:01:55,,True,False,1
Spindle,9,3,Tahan nilai zona histeresis,2026-07-13T21:02:01.086459,1783951321,2026-07-13 21:02:01,58.0,True,False,1
Spindle,9,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:02:07.122235,1783951327,2026-07-13 21:02:07,,True,False,1
Spindle,9,5,Tahan nilai di bawah ambang resume,2026-07-13T21:02:13.153823,1783951333,2026-07-13 21:02:13,52.0,True,False,1
Spindle,9,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:02:19.158600,1783951339,2026-07-13 21:02:19,,False,True,1
Spindle,10,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:02:31.202050,1783951351,2026-07-13 21:02:31,72.0,True,False,1
Spindle,10,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:02:37.243410,1783951357,2026-07-13 21:02:37,,True,False,1
Spindle,10,3,Tahan nilai zona histeresis,2026-07-13T21:02:43.260469,1783951363,2026-07-13 21:02:43,58.0,True,False,1
Spindle,10,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:02:49.281300,1783951369,2026-07-13 21:02:49,,True,False,1
Spindle,10,5,Tahan nilai di bawah ambang resume,2026-07-13T21:02:55.303875,1783951375,2026-07-13 21:02:55,52.0,True,False,1
Spindle,10,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:03:01.332490,1783951381,2026-07-13 21:03:01,,False,True,1
